cycle_time,symbol,regime,side,action,confidence,decision,reason,gate_config,p_cal,p_adj,p_be,anomaly,risk_frac,size,entry,sl,tp,prompt_version,rationale
2026-09-12T11:45:37.007289+00:00,LTCUSDT,low,short,take,62,approve,approve,G2,0.35,0.34607044355627326,0.27792453710130366,0.022454608249866875,0.01,541.27,54.03,54.21475046537808,53.55,trader_v2,"Price executed a clear liquidity sweep of the 54.20 level followed by immediate bearish displacement on the 15m timeframe. The entry at 54.03 captures a retracement into the newly formed supply zone. Despite a neutral higher timeframe bias, the local structure shift and 2.6 RR justify the short position."
2026-09-12T14:45:40.952381+00:00,WLDUSDT,low,long,take,62,veto,no_calibrated_edge,G2,0.35,0.32527139571287095,0.3828114535568274,0.14130631021216591,0.0,0.0,0.4045,0.39941394657717455,0.4127,trader_v2,"Clean liquidity sweep at 0.3997 followed by strong 15m displacement. Price reclaimed the local structural range with a bullish bias. While the entry is at the top of the recent move, the momentum and RR are favorable for a continuation toward the 1h resistance level."
2026-09-13T01:00:43.508841+00:00,HYPEUSDT,low,short,skip,0,skip,trader_skip,G2,,,,0.0,0.0,0.0,79.23,79.85261144124098,78.152,trader_v2,"invalid_output: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3-flash\nPlease retry in 57.385145829s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '57s'}]}}]"
2026-09-13T07:15:45.509121+00:00,BTCUSDT,low,short,take,68,shrink,probe_uncalibrated,G2,0.35,0.33190572677888763,0.330079811370728,0.10339584697778484,0.0025,0.165,77141.0,77295.76182164876,76826.9,trader_v2,"The setup shows a clear liquidity sweep at 77285 followed by strong bearish displacement on the 15m timeframe. Price action has broken local structure, and the entry at 77141 provides a solid 2.03 RR. The stop-loss is well-placed above the recent sweep high, targeting previous 4h support levels."
2026-09-13T07:45:39.054071+00:00,ETHUSDT,low,short,take,62,shrink,probe_uncalibrated,G2,0.35,0.3175098657247888,0.3323702799634399,0.18565791014406408,0.0025,5.115,2518.82,2523.813297643866,2508.79,trader_v2,"Strong 15m displacement at 06:45 confirmed a local structural shift. Price has retraced to the supply zone origin on high volume. While the 4h trend remains bullish, the immediate 1h momentum has turned bearish, and the 2.0 RR provides a solid buffer for a retest of the recent lows."
2026-09-14T02:15:42.130335+00:00,TAOUSDT,mid,short,skip,35,skip,trader_skip,G2,,,,0.0,0.0,0.0,236.53,238.6408673805876,233.14,trader_v2,"The price has shown significant volatility and recently reclaimed the 236.50 level with strong bullish momentum. The short setup is fighting against a clear local uptrend on the 15m and 1h timeframes. The risk of a further squeeze to higher liquidity levels is high, making this short setup unfavorable."
2026-09-14T02:30:41.449957+00:00,ETHUSDT,mid,short,skip,35,skip,trader_skip,G2,,,,0.0,0.0,0.0,2504.17,2516.3025338122743,2481.26,trader_v2,"The setup is based on a sweep that occurred hours ago. Price has already tested the lower levels significantly and is showing signs of recovery, moving back toward the entry zone. The momentum is no longer clearly bearish, making this short entry high-risk."
2026-09-14T13:15:44.180696+00:00,XRPUSDT,mid,long,skip,35,skip,trader_skip,G2,,,,0.0,0.0,0.0,1.3896,1.3798674063716976,1.4059,trader_v2,Price is showing significant bearish rejection after failing to hold above 1.40. The recent 1h candles show high volume selling pressure and a breakdown of the local bullish structure. The entry is currently being tested by momentum that favors further downside toward the 1.38 level.
2026-09-14T14:01:01.050261+00:00,UNIUSDT,mid,long,skip,40,skip,trader_skip,G2,,,,0.0,0.0,0.0,6.358,6.251832475983673,6.565,trader_v2,The recent price action shows high volatility with a large wick to 6.434 followed by a pullback. The structure is currently neutral and the market is struggling to maintain momentum above the 6.35 level. The risk of further downside testing the 6.25 support zone is high.
2026-09-14T14:30:46.737036+00:00,ADAUSDT,mid,long,skip,35,skip,trader_skip,G2,,,,0.0,0.0,0.0,0.2093,0.20805077082402204,0.2112,trader_v2,"The market shows significant volatility and high volume on the recent downside move, breaking below the local structure. The setup lacks clear momentum to sustain a long position, and the risk of further downside testing the 0.2080 level is high. The current price action is choppy and lacks a clean bullish reversal pattern."
